"06:00 - 12:00 LOITERING/GAMBLING (CARDS, DIC",4
12:00 - 18:00 LOITERING,4
"06:00 - 12:00 HOMICIDE-NEGLIGENT,UNCLASSIFIE",4
12:00 - 18:00 FORTUNE TELLING,4
18:00 - 24:00 FORTUNE TELLING,3
18:00 - 24:00 ABORTION,3
00:00 - 06:00 LOITERING,3
00:00 - 06:00 DISRUPTION OF A RELIGIOUS SERV,2
18:00 - 24:00 OTHER TRAFFIC INFRACTION,2
06:00 - 12:00 LOITERING,2
06:00 - 12:00 INTOXICATED/IMPAIRED DRIVING,2
12:00 - 18:00 HOMICIDE-NEGLIGENT-VEHICLE,2
"18:00 - 24:00 HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
18:00 - 24:00 LOITERING/DEVIATE SEX,2
18:00 - 24:00 LOITERING,1
12:00 - 18:00 ADMINISTRATIVE CODES,1
00:00 - 06:00 OTHER TRAFFIC INFRACTION,1
06:00 - 12:00 UNDER THE INFLUENCE OF DRUGS,1
06:00 - 12:00 FORTUNE TELLING,1
18:00 - 24:00 UNLAWFUL POSS. WEAP. ON SCHOOL,1
06:00 - 12:00 OTHER TRAFFIC INFRACTION,1
18:00 - 24:00 UNDER THE INFLUENCE OF DRUGS,1
18:00 - 24:00 OFFENSES AGAINST MARRIAGE UNCL,1
